"DOI","Publication Date","Publication Year","Journal","Research Article' or 'non-Research Article'?","Article Title","Citations - CrossRef","Citations - PubMed Central","Citations - Scopus","Total HTML Page Views","Total PDF Downloads","Total XML Downloads","Combined Usage (HTML + PDF + XML)","Blog Coverage - Postgenomic","Blog Coverage - Nature Blogs","Blog Coverage - Bloglines","Number of Trackbacks","Social Bookmarking - CiteULike","Social Bookmarking - Connotea","Number of Ratings","Average Rating","Number of Note threads","Number of replies to Notes","Number of Comment threads","Number of replies to Comments","Number of 'Star Ratings' that also include a text comment"
"10.1371/journal.pone.0004534",02/20/09,2009,"PLoS ONE","RA","Actions of a Proline Analogue, L-Thiazolidine-4-Carboxylic Acid (T4C), on Trypanosoma cruzi",0,0,1,172,55,1,228,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0004289",01/28/09,2009,"PLoS ONE","RA","CAMKII Activation Is Not Required for Maintenance of Learning-Induced Enhancement of Neuronal Excitability",0,0,0,314,111,4,429,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0004325",01/29/09,2009,"PLoS ONE","RA","Rhythmicity in Mice Selected for Extremes in Stress Reactivity: Behavioural, Endocrine and Sleep Changes Resembling Endophenotypes of Major Depression",0,0,0,549,190,4,743,2,0,0,1,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0005011",04/02/09,2009,"PLoS ONE","RA","CDKN1C (p57KIP2) Is a Direct Target of EZH2 and Suppressed by Multiple Epigenetic Mechanisms in Breast Cancer Cells",0,0,0,414,168,2,584,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.ppat.1000311",02/20/09,2009,"PLoS Pathogens","RA","An Antiviral Response Directed by PKR Phosphorylation of the RNA Helicase A",0,0,0,861,346,4,1211,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.ppat.1000378",04/10/09,2009,"PLoS Pathogens","RA","Complexity of the Inoculum Determines the Rate of Reversion of SIV Gag CD8 T Cell Mutant Virus and Outcome of Infection",0,0,0,166,54,2,222,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pgen.1000463",05/01/09,2009,"PLoS Genetics","RA","Large-Scale Selective Sweep among Segregation Distorter Chromosomes in African Populations of Drosophila melanogaster",0,0,0,470,132,3,605,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0005468",05/08/09,2009,"PLoS ONE","RA","CHOP Mediates Endoplasmic Reticulum Stress-Induced Apoptosis in Gimap5-Deficient T Cells",0,0,0,399,82,2,483,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0004851",03/31/09,2009,"PLoS ONE","RA","Functional SNPs in HSPA1A Gene Predict Risk of Coronary Heart Disease",0,0,0,175,56,3,234,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0004128",01/06/09,2009,"PLoS ONE","RA","Using Pathway Signatures as Means of Identifying Similarities among Microarray Experiments",0,0,0,1069,334,8,1411,0,0,0,0,5,0,0,0,1,0,0,0,0
"10.1371/journal.pone.0005356",04/24/09,2009,"PLoS ONE","RA","The Mitochondrial A10398G Polymorphism, Interaction with Alcohol Consumption, and Breast Cancer Risk",0,0,0,201,51,2,254,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0005806",06/05/09,2009,"PLoS ONE","RA","Azithromycin Treatment Alters Gene Expression in Inflammatory, Lipid Metabolism, and Cell Cycle Pathways in Well-Differentiated Human Airway Epithelia",0,0,0,634,86,5,725,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0005492",05/08/09,2009,"PLoS ONE","RA","Ectodermal-Neural Cortex 1 Down-Regulates Nrf2 at the Translational Level",0,0,0,319,59,2,380,0,0,0,0,0,0,0,0,0,0,0,0,0
